"Regex To Match","Rotation","Delta X","Delta Y"
"^SK6812-MINI-E",180,0,0
"^WS2812B",270,0,0
"^SW_choc_v1",180,2.5,-4.86
"^MX-Hotswap",180,0,1.5
"^SW_KS33_HS_KS-2P02B01-02",0,0.9,-5.225
"^USB_C_Receptacle_TYPE-C-16P-CB1-6-073",0,0,-1.8
"^USB_C_Receptacle_HRO_TYPE-C-31-M-12",0,0,1.35
"^SOT-353_SC-70-5",270,0,0
"^SOT-143",270,0,0
"^SOT-23",180,0,0
"^QFN-48",270,0,0
"^QFN-32",270,0,0
"^USON-10",270,0,0
"^HRO-TYPE-C-31-M-12",0,0,5.0
"^SW_MX_HS_CPG151101S11",180,0.635,3.81
"^SOIC-8_5.23mm-USON-8_2x3mm",90,0,0